Tên Phim,Tên Khác,Nội Dung,Thể Loại,Rating,Số lượng đánh giá,Năm Phát Hành,Image
Double-J,,"Bạn là người yêu Nhật Bản và muốn tìm hiểu về đất nước xinh đẹp ấy? Đây là anime dành cho bạn. Double J giới thiệu về một số nghề truyền thống củng Nhật Bản một cách nhẹ nhàng, mới lạ.","Anime,Hài hước,Học đường,Shounen",7.5,12,2011,https://animehay.life/upload/poster/2191.jpg
Clamp School Detective,CLAMP Gakuen Tanteidan,"Clamp School là trường học bao gồm tất cả các cấp lớp từ mẫu giáo cho đến đại học. Quản lí ngôi trường là 3 cậu thiếu niên từ 10-12 tuổi: Nokoru Imonoyama, Souh Takamura và Akira Ijyuin. Họ làm trong hội đồng học sinh của trường, và công việc kiêm thêm là thành viên của Clamp Campus Detective. Những rắc rối trong ngôi trường bí ẩn cứ nhè bộ 3 mà đâm đầu vào, và các cậu bé không thể có chọn lựa nào khác ngoài cách giải quyết chúng. Cả ba thường nhận được sự trợ giúp từ người phụ nữ bí ẩn vốn là hiệu trưởng của trường- người ta hay gọi bà là Chairwoman, cùng với hai cô bé Utako Ohkawa và Nagisa Azuya. Không có khó khăn gì mà bộ ba không thể vượt qua…","Anime,Hành động,Học đường,Bí ẩn",8.1,17,1997,https://animehay.life/upload/poster/2193.jpg
Casshern Sins,,"Câu chuyện xảy ra vào một tương lai xa xôi khi robot đã thống trị hành tinh và được cai trị bởi Braiking Boss. Một ngày nọ, Casshern, một robot dưới quyền Braiking nhận lệnh đi giết Luna, một robot được mệnh danh là ""Mặt Trời mang tên Mặt Trăng"". Từ đây, sau khi Luna chết đi, thế giới bắt đầu thay đổi, các robot trước kia vẫn bất tử bỗng lần lượt chết đi vì một căn bệnh kỳ lạ mang tên ""Hủy Hoại"", thế giới dần điêu tàn và tiến đến hủy diệt. Trong khi đó, Casshern biến mất. Nhiều năm sau, Casshern bỗng dưng xuất hiện trở lại, mới mẻ và không bị căn bệnh ""Hủy Hoại"" ảnh hưởng trong khi các robot khác vẫn phải hàng ngày chống chọi với nó. Cùng lúc đó, một lời đồn được truyền tai trong giới robot là nếu ăn thịt Casshern thì sẽ bất tử. Casshern quay về không chút ký ức về tội lỗi quá khứ cũng như không biết mình là ai. Trong cuộc hành trình của mình, anh đã gặp gỡ và đồng hành cùng Lyuze - một robot nữ có chị là người đầu tiên chết vì Hủy Hoại muốn tìm Casshern báo thù; Friender - một con chó robot cũng không bị Hủy Hoại ảnh hưởng; Ringo - một cô bé robot có cấu tạo kỳ lạ; và Ohji - người chăm sóc Ringo. Trong khi đó, tin đồn về việc Luna đã xuất hiện trở lại bỗng dưng lan tràn. Casshern lên đường tìm Luna để tìm lời giải đáp cho tội lỗi, quá khứ của anh cũng như tương lai thế giới.","Anime,Hành động,Viễn tưởng,Phiêu lưu",9.0,34,2008,https://animehay.life/upload/poster/2192.jpg
Clamp School Detective Ova,,OVA của Clamp School Detective.,"Anime,Hành động,Hài hước,Bí ẩn",nan,9,1997,https://animehay.life/upload/poster/2194.jpg
IGPX: IMMORTAL GRAND PRIX,,"Vào năm 2048, nhân loại phát triển 1 trò thể thao tiêu khiển mới, tại đó con người sẽ chiến đấu với nhau bằng người máy, trên 1 đường đua (cầu trượt) và được gọi là Immortal Grand Prix hay cho gọn là IGPX. Anime này có game đi kèm nhé!","Anime,Viễn tưởng,Drama,Mecha,Thể thao",6.4,11,2005,https://animehay.life/upload/poster/2195.jpg
Zombie-Loan,,"Khi một người sắp chết, một cái vòng màu ghi sẽ hiện lên trên cổ họ. Và theo thời gian cái vòng sẽ đậm dần, đậm dần cho tới khi tối hẳn, lúc đó người đấy sẽ chết. Kita michiru là một cô gái sở hữu cặp mắt của Shinigami, nên có thể nhìn thấy chiếc vòng này. Vào lúc bắt gặp 2 người bạn cùng lớp Shito Tachibana và Chika Akatsuki, cô đã thấy chiếc vòng đó trên cổ họ và nhận ra sự thật là họ đã chết trong một tại nạn giao thông 6 tháng trước. Với sự giúp đỡ của văn phòng nợ Zombie Loan, họ đã có được cuộc sống thứ 2, tuy nhiên mạng sống của họ lại được mua bằng tiền nên 2 người đó đã trở thành những thợ săn Zombie, với mục đích kiếm tiền để đổi lấy tự do.","Anime,Hành động,Kinh dị,Siêu nhiên,Shounen",7.9,28,2007,https://animehay.life/upload/poster/2196.jpg
Blame! Movie,,"Trong một tương lai xa, khi nền văn minh công nghệ đã đạt đã tới cảnh giới cuối cùng, tất cả mọi thứ đều hoạt động bằng hệ thống Net. Nhưng một sự lây nhiễm trong quá khứ đã khiến cho các hệ thống tự động mất kiểm soát. Kết quả là thành phố đã tự xây dựng và con người mất đi quyền hạn kiểm soát thành phố trong khi bị săn lùng bởi hệ thống phòng thủ được biết đến với cái tên Safeguard.  Trong một góc nhỏ của thành phố, có một nhóm người được gọi là Điện cơ ngư sư, họ đang phải đối mặt với nạn tuyệt chủng khi phải đứng giữa mối nguy hại Safeguard và sự thiếu thốn lương thực trầm trọng. Zuru và nhóm bạn của mình đã lên đường để tìm kiếm nguồn lương thực mới cho làng nhưng vô tình bị Tháp canh phát hiện và bị Safeguard truy sát. Sau một hồi rượt đuổi, ba người bạn của cô đã bị sát hại. Đang trong ở hoàn cảnh bế tắc thì Zuru được một người đàn ông bí ẩn tên Killy giải cứu. Anh ta là một lãng khách đang trên đường truy tìm Mã Gene điện toán Net - Chìa khóa để lấy lại trật tự cho thế giới này.","Anime,Hành động,Viễn tưởng,Drama,Seinen,Psychological,Mecha",9.1,42,2017,https://animehay.life/upload/poster/2197.jpg
Triage X: Recollection XOXO,,,"Anime,Hành động,Học đường,Ecchi,Shounen",8.7,50,2015,https://animehay.life/upload/poster/2297.jpg
Cậu Bé Đầu Bếp,COOKING MASTER BOY | Chuuka Ichiban! (1997),"Tiểu đầu bếp cung đình là một bộ Anime hay về ẩm thực. Nhân vật chính của phim là Lưu Mậu Tinh, một cậu bé 13 tuổi có quyết tâm sáng tạo và tìm tòi những bí quyết độc đáo nhất để tạo ra những món ăn ngon, phục vụ thực khách. Trên bước đường phiêu lưu học hỏi của mình, v đã gặp nhiều đối thủ, và nhiều trong số đó sau này đã trở thành bạn của Mậu Tinh, đồng hành cùng Mậu Tinh trong cuộc chiến chống giới ẩm thực đen, một tổ chức lợi dụng các món ăn để thôn tính mọi người. Xuyên suốt bộ phim là cuộc hành trình vươn đến những đỉnh cao trong nghề nấu nướng của Mậu Tinh, là cuộc chiến trường kỳ giữa Mậu Tinh cùng những người bạn và giới ẩm thực đen. Đây là một bộ phim về ẩm thực rất đáng để xem, tình tiết hấp dẫn, vui nhộn và cũng rất tình cảm.","Anime,Hành động,Hài hước,Shounen,Drama",7.5,44,1997,https://animehay.life/upload/poster/2225.jpg
Hành Trình Cuộc Sống,My Life as a Zucchini,"Dựa trên cuốn tiểu thuyết mang tên Autobiographie d’une courgette, phim kể về cậu bé tên Zucchini. Sau cái chết bất ngờ của mẹ, Zucchini bị ép chuyển đến một ngôi nhà tình thương. Ở đây, cậu bé làm quen với những người bạn cũng có cuộc đời bi kịch.",,nan,6,2017,https://animehay.life/upload/poster/2213.jpg
Diamond no Ace: Second Season,,"Phần tiếp theo của phim Diamond no Ace  PS : Để tiết kiệm thời gian và dung lượng lưu trữ, nhóm Kido Fansub không dịch các tập 1-2-3 vì chúng là Recap (tóm tắt nội dung), cụ thể :  - #01: Recap trận đấu giữa Seidou và Yakushi - #02 #03: Recap trận đấu giữa Seidou và Inashiro","Anime,Hài hước,Học đường,Thể thao",9.3,78,2015,https://animehay.life/upload/poster/740.jpg
MARGINAL#4: KISS KARA TSUKURU BIG BANG,,TV Anime Thích ứng với Rejet Franchize .,"Anime,Shoujo,Âm nhạc",7.3,26,2017,https://animehay.life/upload/poster/2218.jpg
Eiyuu Densetsu: Sora No Kiseki,Legend of the Heroes: Trails in the Sky,Chuyện kể về một cô bé đi tìm thằng khốn nạn dám hôn trộm và chuốc thuốc mê cho mình xong rồi hắn...,"Anime,Hành động,Giả tưởng,Phiêu lưu",8.0,16,2011,https://animehay.life/upload/poster/2221.jpg
Cô Bé Phù Thủy KiKi,Kiki's Delivery Service 1989 | Majo no Takkyūbin | Witch's Delivery Service | Majo no Takkyuubin,"Bộ phim bắt đầu ngay thời điểm Kiki – một cô bé phù thuỷ thực tập – đủ tuổi để rời gia đình và đến một nơi khác, nơi cô phải sống một mình trong vòng một năm để cô có thể trở thành một phù thuỷ thực thụ. Kiki khởi hành vào buổi tối cùng với sự cổ vũ của mọi người, sử dụng chiếc chổi của mẹ cô, và mang theo chú mèo Jiji cùng một số thứ cần thiết. Trái với sự dự báo thời tiết của đài radio, tối hôm đó trời mưa khá to, Kiki và Jiji phải trú trong một chiếc xe lửa. Sáng hôm sau, Kiki và Jiji tỉnh dậy, phát hiện mình đang nằm trong chỗ để cỏ dành cho bò ăn. Họ rời toa tàu và bắt đầu cuộc hành trình tìm kiếm nơi ở.","Anime,Tình cảm,Hài hước,Giả tưởng,Phiêu lưu,Drama",9.1,71,1989,https://animehay.life/upload/poster/2222.jpg
Canvas: Sepia-iro no Motif,Canvas: Motif Of Sepia,"Asou Daisuke là một học sinh trung học và là một nghệ sĩ có năng khiếu. Người bạn thời thơ ấu, Tachibana Amane, người thân thiết nhất với anh, thuyết phục anh ta để làm một bức chân dung của Kimikage Yurina, một cô gái với một tình trạng bệnh tim, trước khi trải qua phẫu thuật cô tên là Yurina. Trong quá trình tái khám phá nghệ thuật của mình, Daisuke cũng nhận ra tình yêu mà anh và Amane trao cho nhau.","Anime,Tình cảm,Hài hước,Đời thường",7.7,17,2001,https://animehay.life/upload/poster/2224.jpg
Dance With Devils,,"Dance with Devils được chuyển thể từ bộ manga nổi tiếng của Nhật. Câu chuyện xoay quanh Rikka Tachibana, một nữ sinh trung học năm hai của học viện trong Shiko Town.Cô đang sống với chung với mẹ của mình là bà Maria. Cuộc sống của cô và gia đình cứ êm đềm trôi qua nhưng rồi biến cố xảy đến bất ngờ với cô. Chính điều đó làm cho cuộc sống yên bình của gia đình cô bị đảo lộn hoàn toàn....","Anime,Tình cảm,Siêu nhiên,Harem,Demon,Shoujo",7.8,82,2015,https://animehay.life/upload/poster/2227.jpg
Angel Tales 2,Tenshi No Shippo 2 | Tail Of Angels Chu! | Angel Tales 2 (2003),"Nhân vật vật chính – Goro Mutsumi, là một người vô cùng xui xẻo, với công việc, chuyện học hành và đặc biệt là với phụ nữ và bạn gái. Đến một ngày, cậu gặp một bà bói thông báo cho cậu là sẽ có một cuộc gặp gỡ định mệnh và bà đưa cho cậu ta một cái điện thoại di động, với nó bà ta hứa rằng vận may sẽ đến với cậu.  Goro thì không tin lắm vào bà, cậu nhớ lại những lần gặp xui xẻo với phụ nữ thì bà ấy lại biến mất tựa như chưa có. Nhưng khi về nhà, cậu gặp ba cô gái đang chờ mình ở căn hộ chung cư. Họ xưng mình là những thiên thần hộ mệnh theo lệnh của Nữ thần từ vương quốc Tâm linh đến đây. Đây là ba con vật đầu tiên trong số mười hai con vật cưng đã chết vì số phận rủi ro của Groro, bây giờ trở về Trái Đất với cậu. Chẳng bao lâu sau càng ngày càng nhiều con vật trở về với cậu dưới hình dạng như thiên thần hộ mệnh, và mỗi cô đều mong muốn là số một trong trái tim của cậu chủ, như là con thú cưng ưa thích của cậu. Nhưng mỗi người đều có những nỗi sợ hãi cần phải vựơt qua, nỗi sợ từ cuộc sống trong quá khứ, vựơt qua chúng và học cách chung sống với nhau như một gia đình lớn là cách duy nhất để họ có cơ hội giúp đỡ Goro đổi đời và mang những điều may mắn đã mất trở lại cho cậu. Nhưng đây không chỉ là những cô gái duy nhất trên Trái Đất, vì cuộc sống riêng của Goro trong quá khứ, vì Goro đã ở một lúc khác và một nơi khác, có những người lạ bên ngoài đang cố gắng ngăn cản những những cô gái này thay đổi vận mệnh của cậu ấy. Vì những lý do riêng của họ, những người này sợ Goro và muốn cậu ta không làm vậy. Và những cô gái này phải tiếp tục bảo vệ Goro không chỉ thoát khỏi xui xẻo không thôi mà còn khỏi những người khác, mà không cần biết họ là ai và tại sao họ lại muốn hãm hại người chủ yêu quý của các cô ấy.","Anime,Hành động,Tình cảm,Giả tưởng",9.6,33,2003,https://animehay.life/upload/poster/2228.jpg
Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iinkai,I wait for the moment that you love me,Kokuhaku Jikkou Iinkai: Renai Series (âm nhạc và hình ảnh hàng loạt tính năng seiyuus) tạo ra bởi HoneyWorks.,"Anime,Tình cảm,Hài hước,Học đường,Drama",9.4,242,2016,https://animehay.life/upload/poster/2226.jpg
Kamen Rider Heisei generations,,Movie Kamen Rider Heisei Generations Dr. Pac-Man vs. Ex-Aid & Ghost with Legend Riders,Tokusatsu,7.4,35,2017,https://animehay.life/upload/poster/2229.jpg
Ookami to Koushinryou II Specials,Ookami to Koushinryou Special,2 special của Ookami to Koushinryou 2.,"Anime,Hài hước",9.7,50,2009,https://animehay.life/upload/poster/2230.jpg
The Wallflower,The Seven Metamorphoses of Yamato Nadeshiko | Perfect Girl Evolution | The Wallflower (2006),"Câu chuyện hài hước xoay quanh một cô gái và 4 anh chàng đẹp trai. 4 chàng trai này sẽ được miễn phí tiền nhà nếu họ có thể biến cô cháu họ Sunako của bà chủ nhà, một cô gái kì cục, tự ti, khép kín, từ vịt xấu xí thành thiên nga. Kyohei và Sunako cũng sẽ có một mối quan hệ tình cảm lãng mạn.","Anime,Hài hước,Shoujo",8.9,19,2006,https://animehay.life/upload/poster/2247.jpg
Magikano,,"Dựa vào manga cùng tên. Haruo là một học sinh trung học bình thường đang có cuộc sống bình yên với ba cô em gái của mình. Vào một sang nọ, cậu thấy một cô gái xinh đẹp đang đứng bên kia đường quan sát mình và bỗng nhiên cô tan biến vào không khí. Kể từ thời điểm đó cuộc sống bình thường, đôi lúc có thể là buồn chán của cậu bắt đầu trở thành một đống hỗn độn khi cô gái đó trở thành bạn cùng lớp của Haruo, kỳ quặc hơn là cô cũng bắt đầu sống chung với Haruo dưới cùng một mái nhà trong vai trò 1 maid.","Anime,Tình cảm,Hài hước,Giả tưởng,Harem,Shounen",6.8,63,2006,https://animehay.life/upload/poster/2249.jpg
Berserk (2017),,Mùa thứ 3 của Series phim Berserk,"Tình cảm,Hành động,Anime,Giả tưởng,Kinh dị,Phiêu lưu,Siêu nhiên,Drama,Demon,Quân đội",9.0,119,2017,https://animehay.life/upload/poster/2186.jpg
Vũ Điệu Thần Tiên,Ballerina,"Vào những năm 1880, Félicie- một cô gái mồ côi nghèo với mơ ước trở thành một nữ diễn viên múa ballet nhưng không được đào tạo một cách chính quy… Cô bé quyết định thoát khỏi vùng nông thôn Brittany để đến với Paris hoa lệ cùng cậu bạn thân Victor. 11 tuổi – không một chút kinh nghiệm – không một xu dính túi nhưng với sự giúp đỡ của Victor và Odette (cựu diễn viên múa ballet tài giỏi) và sự quyết tâm cao độ, Félicie chấp nhận đương đầu với vô số thách thức để theo đuổi đam mê của mình. Liệu cô bé có đủ can đảm theo đuổi đam mê và biến ước mơ thành sự thật?",,nan,8,2016,https://animehay.life/upload/poster/2231.jpg
Amagi Brilliant Park,,"Kanie Seiya, một cựu thiên tài mang cái tên Kodama Seiya, muốn sống một cuộc sống yên ổn, thì bỗng dưng bị một cô nàng cùng lớp mời đi công viên giải trí bằng cách dí một khẩu súng vào ngay mặt cậu. Đi hẹn hò cho đã xong, cậu bị một bé loli mời làm quản lý của cái công viên giải trí xập xệ này với mục tiêu là kiếm đủ 10 vạn khách trong thời hạn 2 tuần.","Anime,Tình cảm,Hài hước",9.3,624,2014,https://animehay.life/upload/poster/169.jpg
Piace: Watashi no Italian,,Chuyện kể về các bé gái nấu ăn,"Anime,Hài hước,Học đường",7.3,12,2017,https://animehay.life/upload/poster/1862.jpg
Uchouten Kazoku 2,The Eccentric Family 2 (2017),Mùa thứ hai của,"Anime,Hài hước,Đời thường,Siêu nhiên,Drama",8.6,22,2017,https://animehay.life/upload/poster/2204.jpg
Eromanga-sensei,,"""Bộ phim hài lãng mạn mới của anh chị em"" xoay quanh Masamune Izumi, tác giả tiểu thuyết nhẹ ở trường trung học. Em gái của Masamune là Sagiri, một cô gái đóng cửa, người đã không rời căn phòng của cô ấy suốt cả năm. Cô thậm chí buộc anh trai của cô phải làm và mang bữa ăn của cô khi cô stomps sàn. Masamune muốn em gái rời khỏi phòng của cô, bởi vì hai người trong số họ là gia đình duy nhất của nhau.","Anime,Tình cảm,Hài hước,Drama",9.6,1183,2017,https://animehay.life/upload/poster/2033.jpg
Alice to Zouroku,,"Câu chuyện xoay quanh một cô bé tên là Sana, người là một trong những đứa trẻ nắm giữ sức mạnh của ""Giấc mơ của Alice"", một khả năng cho phép cô thực hiện bất cứ điều gì cô tưởng tượng. Sau khi thoát khỏi phòng thí nghiệm nơi cô ấy là một đối tượng thử nghiệm, Sana kết thúc trong một thế giới bình thường, nơi cô gặp một người đàn ông tên là Zouroku, nhưng anh ta sẽ giúp cô ấy chứ?","Anime,Phiêu lưu,Bí ẩn,Seinen",8.9,37,2017,https://animehay.life/upload/poster/2112.jpg
Cowboy Bebop: Tengoku No Tobira,Cowboy Bebop: Knockin' on Heaven's Door,"Trước Halloween, một nhiệm vụ mà các thành viên tàu Bebop tưởng chừng như đơn giản lại trở nên vô cùng phức tạp. Đứng trước viễn cảnh rất nhiều mạng người vô tội bị đe dọa thì những người hùng bất đắc dĩ sẽ giải quyết như thế nào?","Anime,Hành động,Viễn tưởng,Bí ẩn,Drama",8.9,16,2001,https://animehay.life/upload/poster/2251.jpg
Katte Ni Kaizou,Katteni Kaizou,Độ bựa cực cao.,"Anime,Hài hước,Viễn tưởng,Học đường,Ecchi,Shounen",7.0,34,2011,https://animehay.life/upload/poster/2250.jpg
Houkago no Pleiades,Wish Upon the Pleiades | Afterschool Pleiades | Hokago no Pleiades,"Subaru là một cô gái trẻ, những người phát hiện ra rằng người bạn thân nhất của cô Aoi là một phần của nhóm ma thuật cố gắng để thu thập các mảnh vỡ để đưa một đứa bé từ Pleiades có thể trở về nhà của mình. Subaru xem xét tham gia và cô đã được lựa chọn bởi các Pleiadian.",Anime,7.9,20,2015,https://animehay.life/upload/poster/2253.jpg
Haibane Renmei,Charcoal Feather Federation,"Rakka có một giấc mơ về bầu trời, trong mơ cô thấy mình đang rơi trên không trung và bên cạnh cô là một con chim… sau đó thì cô chào đời. Rakka đươc sinh ra từ một cái kén lớn, trong một căn nhà cũ… lạ lẫm với một thế giới xa lạ và một ký ức trống rỗng, Rakka đã rất sợ hãi. Được biết bất cứ ai được sinh ra từ kén đều được gọi là Haibane, họ có đôi cánh xám và vòng hào quang trên đầu, Haibane là những người không có tên và hồi ức, thứ duy nhất mà họ có là giấc mơ của họ trong kén…","Anime,Giả tưởng,Đời thường,Bí ẩn,Drama",7.4,11,2002,https://animehay.life/upload/poster/2252.jpg
Happiness!,,"Kamisaka Haruhi là một trong những học sinh giỏi nhất của trường phép thuật. Cô nàng muốn trở thành phù thủy vì hồi còn nhỏ cô đã được một cậu bé dùng phép thuật cứu thoát khỏi đám con trai đang chọc ghẹo mình. Bên cạnh cô còn có Hiiragi Anri, bạn thân và cũng là đối thủ.","Anime,Tình cảm,Hài hước,Harem,Ecchi,Bí ẩn",7.8,64,2006,https://animehay.life/upload/poster/2264.jpg
Happy Lesson,,,"Anime,Tình cảm,Hài hước,Đời thường,Harem",8.5,94,2002,https://animehay.life/upload/poster/2265.jpg
Dan Doh!!,,"[Hàng kỷ niệm 1 năm lập của OtakuMANO Fansub] . Bộ phim Dandoh nói về cậu học sinh lớp 5 tên là Aoba Tadamichi, còn có biệt danh là Dandoh. Dandoh và 2 người bạn đều là cầu thủ bóng chày xuất sắc nhất trường, nhưng sau khi gặp hiệu trưởng và được ông giới thiệu về golf. Dandoh và những người bạn được sự dạy dỗ của tay golf huyền thoại tên là Shinjo Mikiyasu, tin là Dandoh có thể vượt qua cả mình. Khi Dandoh bắt đầu giải đấu, tinh thần bạn bè, sự quyết tâm, sự chăm chỉ và tinh thần thi đấu cao độ đã thu hút biết bao tay golf xuất sắc và những người bạn đáng tin cậy.","Anime,Phiêu lưu,Shounen,Thể thao",7.9,20,2004,https://animehay.life/upload/poster/2266.jpg
Ayakashi: Japanese Classic Horror,Ayakashi: Japanese Classic Horror | Ayakashi - Samurai Horror Tales (2006),"Anime kể về 3 câu chuyện kinh dị cổ của Nhật Bản. 11 tập phim, 3 câu chuyện, 3 lối kể, 3 suy ngẫm khác nhau hoàn toàn đây không phải là anime bạn nên xem một lần.","Anime,Lịch sử,Kinh dị",8.6,16,2006,https://animehay.life/upload/poster/2267.jpg
Demi-chan wa Kataritai,,"Nếu bạn là thầy giáo và học sinh đều là những em lai quỷ dễ thương, bạn sẽ làm gì? theo dõi để xem anh main chúng ta sẽ xử lí thế nào với những vấn đề hết sức cute của mấy em này nhé.","Anime,Hài hước,Viễn tưởng,Học đường,Seinen",9.5,339,2017,https://animehay.life/upload/poster/1840.jpg
Bamboo Blade,,"-Câu chuyện khởi đầu khi Kojirou, giáo viên dạy kiếm thuật của trường trung học Muroe nhận lời thách đấu từ một đàn anh. Cả hai sẽ đưa đội kiếm nữ do mình huấn luyện đấu với nhau. Nếu Kojirou thắng, anh sẽ được đãi 1 năm ăn sushi miễn phí; ngược lại, nếu anh thua, anh sẽ mất chiếc cúp vô địch kiếm đạo danh dự. -Đội nữ của Kojirou đang thiếu người thì một cô bé lớp 9 tên Kawaoe Tamaki với trình độ kiếm thuật siêu đẳng xuất hiện. Tuy nhiên, cô lại không hề có ý định tham gia đội. Kojirou sẽ làm thế nào để dụ dỗ Tamaki gia nhập đội kiếm của mình và có 1 năm ăn sushi miễn phí?","Anime,Hài hước,Học đường,Thể thao",8.2,26,2007,https://animehay.life/upload/poster/2268.jpg
Tsuki ga Kirei,,"Kotarou Azumi và Akane Mizuno đã trở thành học sinh năm thứ ba ở trường trung học cơ sở và là bạn học cùng lớp lần đầu tiên. Hai người cùng với các bạn học cùng lớp, Chinatsu Nishio và Takumi Hira liên quan đến những người bạn của họ thông qua những hiểu biết và cảm xúc lẫn nhau. Khi năm cuối cùng của họ ở trường trung học cơ sở tiến triển, nhóm vượt qua những thách thức để trưởng thành và nhận thức được những thay đổi trong chính họ.","Anime,Tình cảm,Học đường",9.8,1010,2017,https://animehay.life/upload/poster/2037.jpg
Kuroko no Basket 3,Kuroko No Basuke Ss3,"Mùa giải thứ ba của Kuroko no Basket.  Sau khi chiến thắng một trò chơi khốc liệt, Seirin thành công tiến vào vòng bán kết của Cup mùa đông. Họ tiếp tục hướng đến trở thành nhà vô địch, nhưng phải đối mặt với nhiều đối thủ mạnh mẽ trên đường đi.","Anime,Hài hước,Học đường,Shounen,Thể thao",9.4,374,2015,https://animehay.life/upload/poster/950.jpg
Seikaisuru Kado,,"Kojirou Shindou, một nhân viên ngoại vụ, tình cờ có mặt tại Sân Bay Haneda để chuẩn bị chuyến công tác.  Giữa máy bay đang trên đường băng, bỗng chốc một khối kiến trúc đồ sộ xuất hiện từ hư không. Chiếc máy bay mang theo Shindou cùng 251 hành khách lạc vào bên trong khối kiến trúc đó. Tại đây Shindou gặp được một chàng trai trẻ, Yaha-kui zaShunina, và câu truyện bắt đầu.","Anime,Viễn tưởng",9.0,64,2017,https://animehay.life/upload/poster/2123.jpg
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,,Truyện kể về Ais trong hành trình tìm kiếm sức mạnh ở Dungeon cùng với các bạn của cô ấy,"Anime,Hành động,Giả tưởng,Phiêu lưu",8.6,227,2017,https://animehay.life/upload/poster/2027.jpg
Kamen Rider Amazon 2,,[CẢNH BÁO: Nội dung phim có chứa hình ảnh máu me và bạo lực. Khán giả cân nhắc trước khi xem.],"Anime,Tokusatsu",8.6,34,2017,https://animehay.life/upload/poster/2145.jpg
"Senki Zesshou Symphogear G: In the Distance, That Day, When the Star Became Music... Specials",,Tập đặc biệt của Series phim Senki Zesshou Symphogear,"Anime,Hài hước,Viễn tưởng,Âm nhạc",8.3,18,2014,https://animehay.life/upload/poster/2279.jpg
Kono Subarashii Sekai ni Shukufuku wo! 2 OVA,"KonoSuba: God's Blessing on This Wonderful World! Second Season OVA, KonoSuba: God's Blessing on This Wonderful World! Second Season OVA",OVA 2 của Series Kono Subarashii Sekai ni Shukufuku wo!,"Anime,Hài hước,Giả tưởng,Phiêu lưu,Siêu nhiên",9.7,324,2017,https://animehay.life/upload/poster/2335.jpg
Kenka Banchou Otome: Girl Beats Boys,,"Kenka Banchou Otome - Girl Beats Boys, Hinako Nakayama đã trải qua cả cuộc đời mình được nuôi dưỡng trong các trại trẻ mồ côi của nhà nước mà không hề biết gia đình cô. Khi cô ấy bước vào trường trung học, Hinako được tiếp cận bởi Hikaru, một cậu bé tự nhận là người anh em sinh đôi của mình. Theo Hikaru, Hikaru và Hinako là những đứa trẻ của người đứng đầu gia đình Onigashima yakuza hùng mạnh, và Hikaru muốn Hinako chuyển đổi các địa điểm với anh ta tại Học viện Shishiku, một trường học toàn nam bị tràn ngập với những hành động thô bạo nhất của quốc gia. Liệu Hinako có thể cứu anh trai, tìm thấy tình yêu, và trở thành ông chủ mới của trường?","Anime,Võ thuật,Học đường",9.2,197,2017,https://animehay.life/upload/poster/2038.jpg
Kimi no Na wa,"Your Name, Câu chuyện về phép màu và tình yêu","Một bộ phim cùng tác giả với 5 centimet trên giây. Kể về câu chuyện của cặp đôi thường xuyên bị hoán đổi cơ thể và nổ lực cứu lấy nữ chính khỏi thảm cảnh, cũng như nổ lực nhớ lấy tên đối phương.","Anime,Tình cảm,Học đường,Siêu nhiên,Drama",9.6,3009,2016,https://animehay.life/upload/poster/1542.jpg
Holy Knight,,"Câu chuyện xoay quanh một đứa trẻ mồ côi nhút nhát tên là Mizumura Shinta người đi đến một trường đào tạo ở Tokyo. Cuộc sống dường như bình thường của cậu thay đổi khi một cô gái Rumani nửa là con người, rất xinh đẹp tên là Lilith đột nhiên chuyển vào trường mình. Mizumura phát hiện ra rằng cậu thực sự là một thợ săn ma cà rồng và là người kế thừa của dòng tộc Romuald.","Anime,Hành động,Giả tưởng,Siêu nhiên,Ecchi,Seinen,Demon",8.2,48,2012,https://animehay.life/upload/poster/2336.jpg
Sin: Nanatsu no Taizai,The 7 Deadly Sins,"Bạn, bạn sẽ là một tín đồ của chúa tể quỷ? Những lãnh chúa xinh đẹp này dẫn con người đến với bảy tội lỗi chết người: kiêu ngạo, đố kỵ, giận dữ, lười biếng, tham lam, phàm ăn, và ham muốn. Một ảo tưởng đang lộ hướng tham nhũng và hạnh phúc bắt đầu.","Anime,Hành động,Giả tưởng,Ecchi",8.1,175,2017,https://animehay.life/upload/poster/2032.jpg
Nagareboshi Lens OVA,Shooting Star Lens OVA,"Nagareboshi Lens của tác giả Mayu Murata. Câu chuyện nói về Risa, một cô gái chưa hề có kinh nghiệm trong tình yêu và Yūgure, nam sinh nổi tiếng nhất trường. Mặc dù chưa hề quen biết nhau, cả 2 tình cờ gặp được nhau trong trường vào một đêm nọ.","Anime,Tình cảm,Shoujo",8.4,18,2012,https://animehay.life/upload/poster/2337.jpg
Onee-chan ga Kita! - Chị Hai tới rồi!,Oneechan ga Kita!,"Câu chuyện xoay quanh Tomoya Mizuhara, một cậu bé 13 tuổi đột nhiên có chị Hai khi cha cậu tái hôn. Ichika (17 tuổi) có tình cảm đặc biệt to lớn với Tomoya (nếu không muốn nói là đáng sợ). Hơn hết, Ichika có 1 người bạn là Ruri - người rất thích bạo dâm, sau đó lại có thêm 1 cô bạn ngực to nữa đến tìm Tomoya =))","Anime,Hài hước,Đời thường",7.8,96,2014,https://animehay.life/upload/poster/602.jpg
